,rxn_ids,rxn_names,reactions,rxn_bounds,rxn_subsystems
174,ASPTAm,aspartate transaminase Astrocyte,akg[mA] + asp-L[mA] <=> glu-L[mA] + oaa[mA],"(-1000.0, 1000.0)",Alanine and Aspartate Metabolism
175,ATPS4m,ATP synthase (four protons for one ATP) Astrocyte,adp[mA] + 4.0 h[cA] + pi[mA] --> atp[mA] + h2o[mA] + 3.0 h[mA],"(0.0, 1000.0)",Oxidative Phosphorylation
176,ATPtm,"ADP/ATP transporter, mitochondrial Astrocyte",adp[cA] + atp[mA] --> adp[mA] + atp[cA],"(0.0, 1000.0)","Transport, Mitochondrial"
177,BACCLm,"biotin-[acetyl-CoA-carboxylase] ligase, mitochondrial Astrocyte",atp[mA] + btn[mA] + h[mA] --> btamp[mA] + ppi[mA],"(0.0, 1000.0)",Biotin Metabolism
178,BALAVECSEC,B-alanine secretion via secretory vesicle (ATP driven) Astrocyte,3.0 ala-B[cA] + atp[cA] + h2o[cA] --> adp[cA] + 3.0 ala-B[e] + h[cA] + pi[cA],"(0.0, 1000.0)","Transport, Extracellular"
179,BALAtmr,Beta-alanine reversible mitochondrial transport (diffusion) Astrocyte,ala-B[cA] <=> ala-B[mA],"(-1000.0, 1000.0)","Transport, Mitochondrial"
180,BAMPPALDOXm,beta-Aminopropion aldehyde:NAD+ oxidoreductase (m) Astrocyte,bamppald[mA] + h2o[mA] + nad[mA] --> ala-B[mA] + 2.0 h[mA] + nadh[mA],"(0.0, 1000.0)",beta-Alanine metabolism
181,BDHm,(R)-3-Hydroxybutanoate:NAD+ oxidoreductase Astrocyte,bhb[mA] + nad[mA] <=> acac[mA] + h[mA] + nadh[mA],"(-1000.0, 1000.0)",Butanoate Metabolism
182,BETALDHxm,"betaine-aldehyde dehydrogenase, mitochondrial Astrocyte",betald[mA] + h2o[mA] + nad[mA] --> glyb[mA] + 2.0 h[mA] + nadh[mA],"(0.0, 1000.0)","Glycine, Serine, and Threonine Metabolism"
183,BHBt,(R)-3-Hydroxybutanoate transport via H+ symport Astrocyte,bhb[e] + h[e] <=> bhb[cA] + h[cA],"(-1000.0, 1000.0)","Transport, Extracellular"
184,BHBtm,(R)-3-Hydroxybutanoate mitochondrial transport via H+ symport Astrocyte,bhb[cA] + h[cA] <=> bhb[mA] + h[mA],"(-1000.0, 1000.0)","Transport, Mitochondrial"
185,BTNDm,"biotinidase (biotin), mitochondrial Astrocyte",biocyt[mA] + h2o[mA] --> btn[mA] + lys-L[mA],"(0.0, 1000.0)",Biotin Metabolism
186,BTNPLm,"holocarboxylase synthestase (biotin protein ligase), mitochondrial Astrocyte",apoC-Lys[mA] + btamp[mA] --> amp[mA] + apoC-Lys_btn[mA] + h[mA],"(0.0, 1000.0)",Biotin Metabolism
187,BTNt2,Biotin reversible transport via proton symport Astrocyte,btn[e] + h[e] <=> btn[cA] + h[cA],"(-1000.0, 1000.0)","Transport, Extracellular"
188,BTNt2m,"Biotin reversible transport via proton symport, mitochondria Astrocyte",btn[cA] + h[cA] <=> btn[mA] + h[mA],"(-1000.0, 1000.0)","Transport, Mitochondrial"
189,BTNt4i,Biotin uptake (antiport) Astrocyte,btn[e] + h[cA] --> btn[cA] + h[e],"(0.0, 1000.0)","Transport, Extracellular"
190,C160CPT2,C160 transport into the mitochondria Astrocyte,coa[mA] + pmtcrn[mA] --> crn[mA] + pmtcoa[mA],"(0.0, 1000.0)",Carnitine shuttle
191,C160CRNt,C160 transport into the mitochondria Astrocyte,pmtcrn[cA] --> pmtcrn[mA],"(0.0, 1000.0)",Carnitine shuttle
192,C204CPT2,arachidonic acid transport into the mitochondria Astrocyte,arachdcrn[mA] + coa[mA] --> arachdcoa[mA] + crn[mA],"(0.0, 1000.0)",Carnitine shuttle
193,C226CPT2,C226 transport into the mitochondria Astrocyte,c226crn[mA] + coa[mA] --> c226coa[mA] + crn[mA],"(0.0, 1000.0)",Carnitine shuttle
194,C2M26DCOAHLm,"cis-2-Methyl-5-isopropylhexa-2,5-dienoyl-CoA hydro-lyase (m) Astrocyte",c2m26dcoa[mA] + h2o[mA] <=> 3h26dm5coa[mA],"(-1000.0, 1000.0)",Limonene and pinene degradation
195,CATm,catalase Astrocyte,2.0 h2o2[mA] --> 2.0 h2o[mA] + o2[mA],"(0.0, 1000.0)",ROS Detoxification
196,CBL2tm,"Cob(II)alamine transport, mitochondrial Astrocyte",cbl2[cA] --> cbl2[mA],"(0.0, 1000.0)","Transport, Mitochondrial"
197,CBLATm,"cob(I)alamin adenosyltransferase, mitochondrial Astrocyte",atp[mA] + cbl1[mA] + h[mA] <=> adocbl[mA] + pppi[mA],"(-1000.0, 1000.0)",Vitamin B12 Metabolism
198,CDPDAGtm,intracellular transport Astrocyte,cdpdag_hs[cA] <=> cdpdag_hs[mA],"(-1000.0, 1000.0)","Transport, Mitochondrial"
199,CDSm,phosphatidate cytidylyltransferase Astrocyte,ctp[mA] + h[mA] + pa_hs[mA] --> cdpdag_hs[mA] + ppi[mA],"(0.0, 1000.0)",Glycerophospholipid Metabolism
200,CHSTEROLt3,cholesterol intracellular transport Astrocyte,chsterol[cA] <=> chsterol[mA],"(-1000.0, 1000.0)","Transport, Mitochondrial"
201,CITRtm,citrulline mitochondrial transport via proton antiport Astrocyte,citr-L[mA] <=> citr-L[cA],"(-1000.0, 1000.0)","Transport, Mitochondrial"
202,CITtam,"citrate transport, mitochondrial Astrocyte",cit[cA] + mal-L[mA] <=> cit[mA] + mal-L[cA],"(-1000.0, 1000.0)","Transport, Mitochondrial"
203,CITtbm,"citrate transport, mitochondrial Astrocyte",cit[cA] + pep[mA] <=> cit[mA] + pep[cA],"(-1000.0, 1000.0)","Transport, Mitochondrial"
204,CK,ATP Creatine kinase Astrocyte,atp[mA] + creat[mA] <=> adp[mA] + pcreat[mA],"(-1000.0, 1000.0)",Urea cycle/amino group metabolism
205,CO2t,CO2 transporter via diffusion Astrocyte,co2[e] <=> co2[cA],"(-1000.0, 1000.0)","Transport, Extracellular"
206,CO2tm,"CO2 transport (diffusion), mitochondrial Astrocyte",co2[cA] <=> co2[mA],"(-1000.0, 1000.0)","Transport, Mitochondrial"
207,COQ3m,methyltransferase COQ3 Astrocyte,2dpmhobq[mA] + amet[mA] --> ahcys[mA] + h[mA] + q10[mA],"(0.0, 1000.0)",Ubiquinone Biosynthesis
208,COQ5m,Ubiquinone biosynthesis methyltransferase COQ5 Astrocyte,2dp6mobq[mA] + amet[mA] --> 2dp6mobq_me[mA] + ahcys[mA] + h[mA],"(0.0, 1000.0)",Ubiquinone Biosynthesis
209,COQ6m,Ubiquinone biosynthesis monooxgenase COQ6 Astrocyte,2dp6mep[mA] + o2[mA] --> 2dp6mobq[mA] + h2o[mA],"(0.0, 1000.0)",Ubiquinone Biosynthesis
210,COQ7m,Ubiquinone biosynthesis COQ7 Astrocyte,2dp6mobq_me[mA] + h[mA] + nadph[mA] + o2[mA] --> 2dpmhobq[mA] + h2o[mA] + nadp[mA],"(0.0, 1000.0)",Ubiquinone Biosynthesis
211,COUCOAFm,p-coumaroyl-CoA formation Astrocyte,T4hcinnm[mA] + atp[mA] + coa[mA] --> amp[mA] + coucoa[mA] + ppi[mA],"(0.0, 1000.0)",Ubiquinone Biosynthesis
212,CPPPGO,coproporphyrinogen oxidase (O2 required) Astrocyte,cpppg3[cA] + 2.0 h[cA] + o2[cA] --> 2.0 co2[cA] + 2.0 h2o[cA] + pppg9[cA],"(0.0, 1000.0)",Heme Biosynthesis
213,CRNt,L-carnitine reversible transport Astrocyte,crn[e] <=> crn[cA],"(-1000.0, 1000.0)","Transport, Extracellular"
214,CRNtim,L-carnitine transport out of mitochondria via diffusion Astrocyte,crn[mA] --> crn[cA],"(0.0, 1000.0)","Transport, Mitochondrial"
215,CSNAT2m,"carnitine O-aceyltransferase, mitochondrial Astrocyte",coa[mA] + pcrn[mA] <=> crn[mA] + ppcoa[mA],"(-1000.0, 1000.0)",Carnitine shuttle
216,CSNATm,"carnitine O-aceyltransferase, mitochondrial Astrocyte",acrn[mA] + coa[mA] <=> accoa[mA] + crn[mA],"(-1000.0, 1000.0)",Fatty Acid Metabolism
217,CSm,citrate synthase Astrocyte,accoa[mA] + h2o[mA] + oaa[mA] --> cit[mA] + coa[mA] + h[mA],"(0.0, 1000.0)",Citric Acid Cycle
218,CYANSTm,"Cyanide sulfurtransferase, mitochondrial Astrocyte",cyan[mA] + tsul[mA] --> h[mA] + so3[mA] + tcynt[mA],"(0.0, 1000.0)",Cysteine Metabolism
219,CYANt,Cyanide transport via diffusion (extracellular to cytosol) Astrocyte,cyan[e] <=> cyan[cA],"(-1000.0, 1000.0)","Transport, Extracellular"
220,CYANtm,Cyanide transport via diffusion (mitochondrial) Astrocyte,cyan[cA] <=> cyan[mA],"(-1000.0, 1000.0)","Transport, Mitochondrial"
221,CYOOm2,"cytochrome c oxidase, mitochondrial Complex IV Astrocyte",4.0 focytC[mA] + 8.0 h[mA] + o2[mA] --> 4.0 ficytC[mA] + 2.0 h2o[mA] + 4.0 h[cA],"(0.0, 1000.0)",Oxidative Phosphorylation
222,CYOR-u10m,"ubiquinol-6 cytochrome c reductase, Complex III Astrocyte",2.0 ficytC[mA] + 2.0 h[mA] + q10h2[mA] --> 2.0 focytC[mA] + 4.0 h[cA] + q10[mA],"(0.0, 1000.0)",Oxidative Phosphorylation
223,CYSGLUexR,L-cysteine/L-glutamine reversible exchanger Astrocyte,cys-L[e] + gln-L[cA] --> cys-L[cA] + gln-L[e],"(0.0, 0.0)","Transport, Extracellular"
224,CYSGLYex,L-cysteine/glycine exchanger Astrocyte,cys-L[cA] + gly[e] --> cys-L[e] + gly[cA],"(0.0, 1000.0)","Transport, Extracellular"
225,CYSGLYexR,L-cysteine/glycine reversible exchanger Astrocyte,cys-L[cA] + gly[e] <=> cys-L[e] + gly[cA],"(-1000.0, 1000.0)","Transport, Extracellular"
226,CYSO,cysteine oxidase Astrocyte,cys-L[cA] + o2[cA] --> 3sala[cA] + 2.0 h[cA],"(0.0, 1000.0)",Taurine and hypotaurine metabolism
227,CYSTAm,cysteine transaminase (mitochondrial) Astrocyte,akg[mA] + cys-L[mA] <=> glu-L[mA] + mercppyr[mA],"(-1000.0, 1000.0)",Cysteine Metabolism
228,CYStec,L-cysteine transport via diffusion (extracellular to cytosol) Astrocyte,cys-L[e] <=> cys-L[cA],"(-1000.0, 1000.0)","Transport, Extracellular"
229,CYTK1m,"cytidylate kinase (CMP),mitochondrial Astrocyte",atp[mA] + cmp[mA] <=> adp[mA] + cdp[mA],"(-1000.0, 1000.0)",Nucleotides
230,D-LACt2,D-lactate transport via proton symport Astrocyte,h[e] + lac-D[e] <=> h[cA] + lac-D[cA],"(-1000.0, 1000.0)","Transport, Extracellular"
231,D-LACtm,"D-lactate transport, mitochondrial Astrocyte",h[cA] + lac-D[cA] <=> h[mA] + lac-D[mA],"(-1000.0, 1000.0)","Transport, Mitochondrial"
232,DDPGAm,"2-dehydro-3-deoxy-phosphogluconate aldolase, mitochondrial Astrocyte",4h2oglt[mA] <=> glx[mA] + pyr[mA],"(-1000.0, 1000.0)",Arginine and Proline Metabolism
233,DECDPtm,"lipid, flip-flop intracellular transport Astrocyte",decdp[cA] <=> decdp[mA],"(-1000.0, 1000.0)","Transport, Mitochondrial"
234,DGNSKm,deoxyguanosine kinase Astrocyte,atp[mA] + dgsn[mA] --> adp[mA] + dgmp[mA] + h[mA],"(0.0, 1000.0)",Nucleotides
235,DGSNt,deoyguanosine transport via diffusion Astrocyte,dgsn[e] <=> dgsn[cA],"(-1000.0, 1000.0)","Transport, Extracellular"
236,DGSNtm,deoyguanosine transport in mitochondria Astrocyte,dgsn[cA] <=> dgsn[mA],"(-1000.0, 1000.0)","Transport, Mitochondrial"
237,DHDPBMTm,dihydroxydecaprenylbenzoate methyltransferase Astrocyte,3dpdhb[mA] + amet[mA] --> 3dpdhb_me[mA] + ahcys[mA] + h[mA],"(0.0, 1000.0)",Ubiquinone Biosynthesis
238,DHFtm,dihydrofolate reversible mitochondrial transport Astrocyte,dhf[cA] <=> dhf[mA],"(-1000.0, 1000.0)","Transport, Mitochondrial"
239,DMGDHm,"dimethylglycine dehydrogenase, mitochondrial Astrocyte",dmgly[mA] + fad[mA] + h2o[mA] --> fadh2[mA] + fald[mA] + sarcs[mA],"(0.0, 1000.0)","Glycine, Serine, and Threonine Metabolism"
240,DMGtm,dimethylglycine transport via diffusion (cytosol to mitochondria) Astrocyte,dmgly[cA] <=> dmgly[mA],"(-1000.0, 1000.0)","Transport, Mitochondrial"
241,DPGM,Diphosphoglyceromutase Astrocyte,13dpg[cA] <=> 23dpg[cA] + h[cA],"(-1000.0, 1000.0)",Glycolysis/Gluconeogenesis
242,DPGase,Diphosphoglycerate phosphatase Astrocyte,23dpg[cA] + h2o[cA] --> 3pg[cA] + pi[cA],"(0.0, 0.0)",Glycolysis/Gluconeogenesis
243,DPHMBDCm,3-Decaprenyl-4-hydroxy-5-methoxybenzoate  decarboxylation Astrocyte,3dpdhb_me[mA] + h[mA] --> 2dp6mep[mA] + co2[mA],"(0.0, 1000.0)",Ubiquinone Biosynthesis
244,DURIK1m,"deoxyuridine kinase (ATP:Deoxyuridine), mitochondrial Astrocyte",atp[mA] + duri[mA] --> adp[mA] + dump[mA] + h[mA],"(0.0, 1000.0)",Nucleotides
245,DURIt,deoxyuridine transport via diffusion Astrocyte,duri[e] <=> duri[cA],"(-1000.0, 1000.0)","Transport, Extracellular"
246,DUTPDPm,dUTP diphosphatase Astrocyte,dutp[mA] + h2o[mA] --> dump[mA] + h[mA] + ppi[mA],"(0.0, 1000.0)",Nucleotides
247,ECOAH12m,3-hydroxyacyl-CoA dehydratase (3-hydroxyisobutyryl-CoA) (mitochondria) Astrocyte,2mp2coa[mA] + h2o[mA] <=> 3hibutcoa[mA],"(-1000.0, 1000.0)","Valine, Leucine, and Isoleucine Metabolism"
248,ECOAH1m,3-hydroxyacyl-CoA dehydratase (3-hydroxybutanoyl-CoA) (mitochondria) Astrocyte,3hbcoa[mA] <=> b2coa[mA] + h2o[mA],"(-1000.0, 1000.0)",Tryptophan metabolism
249,ECOAH9m,"2-Methylprop-2-enoyl-CoA (2-Methylbut-2-enoyl-CoA), mitochondrial Astrocyte",2mb2coa[mA] + h2o[mA] <=> 3hmbcoa[mA],"(-1000.0, 1000.0)","Valine, Leucine, and Isoleucine Metabolism"
250,EHGLAT2m,"L-erythro-4-Hydroxyglutamate:2-oxoglutarate aminotransferase 2, mitochondrial Astrocyte",e4hglu[mA] + oaa[mA] --> 4h2oglt[mA] + asp-L[mA],"(0.0, 1000.0)",Arginine and Proline Metabolism
251,EHGLATm,"L-erythro-4-Hydroxyglutamate:2-oxoglutarate aminotransferase, mitochondrial Astrocyte",akg[mA] + e4hglu[mA] --> 4h2oglt[mA] + glu-L[mA],"(0.0, 1000.0)",Arginine and Proline Metabolism
252,ENO,enolase Astrocyte,2pg[cA] <=> h2o[cA] + pep[cA],"(-1000.0, 1000.0)",Glycolysis/Gluconeogenesis
253,ETF,electron transfer flavoprotein Astrocyte,etfox[mA] + fadh2[mA] --> etfrd[mA] + fad[mA],"(0.0, 1000.0)",Fatty acid oxidation
254,ETFQO,Electron transfer flavoprotein-ubiquinone oxidoreductase Astrocyte,etfrd[mA] + q10[mA] --> etfox[mA] + q10h2[mA],"(0.0, 1000.0)",Fatty acid oxidation
255,ETOHMO,ethanol monooxygenase Astrocyte,etoh[cA] + h[cA] + nadph[cA] + o2[cA] --> acald[cA] + 2.0 h2o[cA] + nadp[cA],"(0.0, 1000.0)",Glycolysis/Gluconeogenesis
256,ETOHt,ethanol reversible transport Astrocyte,etoh[e] <=> etoh[cA],"(-1000.0, 1000.0)","Transport, Extracellular"
257,FALDtm,formaldehyde transport via diffusion (mitochondrial) Astrocyte,fald[mA] <=> fald[cA],"(-1000.0, 1000.0)","Transport, Mitochondrial"
258,FBA,fructose-bisphosphate aldolase Astrocyte,fdp[cA] <=> dhap[cA] + g3p[cA],"(-1000.0, 1000.0)",Glycolysis/Gluconeogenesis
259,FCLTm,"Ferrochelatase, mitochondrial Astrocyte",fe2[mA] + ppp9[mA] --> 2.0 h[mA] + pheme[mA],"(0.0, 1000.0)",Heme Biosynthesis
260,FE2t,iron (II) transport Astrocyte,fe2[e] --> fe2[cA],"(0.0, 1000.0)","Transport, Extracellular"
261,FE2tm,iron (II) transport Astrocyte,fe2[cA] + h[cA] --> fe2[mA] + h[mA],"(0.0, 1000.0)","Transport, Mitochondrial"
262,FORt2m,formate mitochondrial transport Astrocyte,for[mA] <=> for[cA],"(-1000.0, 1000.0)","Transport, Mitochondrial"
263,FPGS2m,"folylpolyglutamate synthetase, mitochondrial Astrocyte",5thf[mA] + atp[mA] + glu-L[mA] --> 6thf[mA] + adp[mA] + h[mA] + pi[mA],"(0.0, 1000.0)",Folate Metabolism
264,FPGS3m,"folylpolyglutamate synthetase, mitochondrial Astrocyte",6thf[mA] + atp[mA] + glu-L[mA] --> 7thf[mA] + adp[mA] + h[mA] + pi[mA],"(0.0, 1000.0)",Folate Metabolism
265,FPGS4m,"folylpolyglutamate synthetase (DHF), mitochondrial Astrocyte",4.0 atp[mA] + dhf[mA] + 4.0 glu-L[mA] --> 5dhf[mA] + 4.0 adp[mA] + 4.0 h[mA] + 4.0 pi[mA],"(0.0, 1000.0)",Folate Metabolism
266,FPGS5m,"folylpolyglutamate  synthetase (DHF), mitochondrial Astrocyte",5dhf[mA] + atp[mA] + glu-L[mA] --> 6dhf[mA] + adp[mA] + h[mA] + pi[mA],"(0.0, 1000.0)",Folate Metabolism
267,FPGS6m,"folylpolyglutamate synthetase (DHF), mitochondrial Astrocyte",6dhf[mA] + atp[mA] + glu-L[mA] --> 7dhf[mA] + adp[mA] + h[mA] + pi[mA],"(0.0, 1000.0)",Folate Metabolism
268,FPGS7m,"folylpolyglutamate synthetase (10fthf), mitochondrial Astrocyte",10fthf[mA] + 4.0 atp[mA] + 4.0 glu-L[mA] --> 10fthf5glu[mA] + 4.0 adp[mA] + 4.0 h[mA] + 4.0 pi[mA],"(0.0, 1000.0)",Folate Metabolism
269,FPGS8m,"folylpolyglutamate synthetase (10fthf), mitochondrial Astrocyte",10fthf5glu[mA] + atp[mA] + glu-L[mA] --> 10fthf6glu[mA] + adp[mA] + h[mA] + pi[mA],"(0.0, 1000.0)",Folate Metabolism
270,FPGS9m,"folylpolyglutamate synthetase (10fthf), mitochondrial Astrocyte",10fthf6glu[mA] + atp[mA] + glu-L[mA] --> 10fthf7glu[mA] + adp[mA] + h[mA] + pi[mA],"(0.0, 1000.0)",Folate Metabolism
271,FPGSm,"folylpolyglutamate synthetase, mitochondrial Astrocyte",4.0 atp[mA] + 4.0 glu-L[mA] + thf[mA] --> 5thf[mA] + 4.0 adp[mA] + 4.0 h[mA] + 4.0 pi[mA],"(0.0, 1000.0)",Folate Metabolism
272,FTHFLm,"formate-tetrahydrofolate ligase, mitochondrial Astrocyte",atp[mA] + for[mA] + thf[mA] <=> 10fthf[mA] + adp[mA] + pi[mA],"(-1000.0, 1000.0)",Folate Metabolism
273,FUMSO3tm,"Fumarate:sulfite antiport, mitochondrial Astrocyte",fum[cA] + so3[mA] <=> fum[mA] + so3[cA],"(-1000.0, 1000.0)","Transport, Mitochondrial"
274,FUMSO4tm,"Fumarate:sulfate antiport, mitochondrial Astrocyte",fum[cA] + so4[mA] <=> fum[mA] + so4[cA],"(-1000.0, 1000.0)","Transport, Mitochondrial"
275,FUMTSULtm,"Fumarate:thiosulfate antiport, mitochondrial Astrocyte",fum[cA] + tsul[mA] <=> fum[mA] + tsul[cA],"(-1000.0, 1000.0)","Transport, Mitochondrial"
276,FUMm,"fumarase, mitochondrial Astrocyte",fum[mA] + h2o[mA] <=> mal-L[mA],"(-1000.0, 1000.0)",Citric Acid Cycle
277,FUMtm,"fumarate transport, mitochondrial Astrocyte",fum[cA] + pi[mA] <=> fum[mA] + pi[cA],"(-1000.0, 1000.0)","Transport, Mitochondrial"
278,G3PD2m,"glycerol-3-phosphate dehydrogenase (FAD), mitochondrial Astrocyte",fad[mA] + glyc3p[cA] --> dhap[cA] + fadh2[mA],"(0.0, 1000.0)",Glycolysis/Gluconeogenesis
279,G5SDym,glutamate-5-semialdehyde dehydrogenase (m) Astrocyte,glu5p[mA] + h[mA] + nadph[mA] --> glu5sa[mA] + nadp[mA] + pi[mA],"(0.0, 1000.0)",Urea cycle/amino group metabolism
280,G6PDH2r,glucose 6-phosphate dehydrogenase Astrocyte,g6p[cA] + nadp[cA] <=> 6pgl[cA] + h[cA] + nadph[cA],"(-1000.0, 1000.0)",Pentose Phosphate Pathway
281,GAPD,glyceraldehyde-3-phosphate dehydrogenase Astrocyte,g3p[cA] + nad[cA] + pi[cA] <=> 13dpg[cA] + h[cA] + nadh[cA],"(-1000.0, 1000.0)",Glycolysis/Gluconeogenesis
282,GCALDDm,"Glycolaldehyde dehydrogenase, mitochondrial Astrocyte",gcald[mA] + h2o[mA] + nad[mA] --> glyclt[mA] + 2.0 h[mA] + nadh[mA],"(0.0, 1000.0)",Glyoxylate and Dicarboxylate Metabolism
283,GCC2am,"glycine-cleavage complex (lipoamide), mitochondrial Astrocyte",gly[mA] + h[mA] + lpam[mA] <=> alpam[mA] + co2[mA],"(-1000.0, 1000.0)","Glycine, Serine, and Threonine Metabolism"
284,GCC2bim,"glycine-cleavage system (lipoamide) irreversible, mitochondrial Astrocyte",alpam[mA] + thf[mA] --> dhlam[mA] + mlthf[mA] + nh4[mA],"(0.0, 1000.0)","Glycine, Serine, and Threonine Metabolism"
285,GCC2cm,"glycine-cleavage complex (lipoamide), mitochondrial Astrocyte",dhlam[mA] + nad[mA] <=> h[mA] + lpam[mA] + nadh[mA],"(-1000.0, 1000.0)","Glycine, Serine, and Threonine Metabolism"
286,GCCam,"glycine-cleavage complex (lipoylprotein), mitochondrial Astrocyte",gly[mA] + h[mA] + lpro[mA] <=> alpro[mA] + co2[mA],"(-1000.0, 1000.0)","Glycine, Serine, and Threonine Metabolism"
287,GCCbim,"glycine-cleavage complex (lipoylprotein) irreversible, mitochondrial Astrocyte",alpro[mA] + thf[mA] --> dhlpro[mA] + mlthf[mA] + nh4[mA],"(0.0, 1000.0)","Glycine, Serine, and Threonine Metabolism"
288,GCCcm,"glycine-cleavage complex (lipoylprotein), mitochondrial Astrocyte",dhlpro[mA] + nad[mA] <=> h[mA] + lpro[mA] + nadh[mA],"(-1000.0, 1000.0)","Glycine, Serine, and Threonine Metabolism"
289,GHMT2rm,"glycine hydroxymethyltransferase, reversible, mitochondrial Astrocyte",ser-L[mA] + thf[mA] <=> gly[mA] + h2o[mA] + mlthf[mA],"(-1000.0, 1000.0)","Glycine, Serine, and Threonine Metabolism"
290,GHMT3m,"glycine hydroxymethyltransferase, mitochondrial Astrocyte",3htmelys[mA] + h[mA] --> 4tmeabut[mA] + gly[mA],"(0.0, 1000.0)",Lysine Metabolism
291,GLACOm,"D-Glucuronolactone:NAD+ oxidoreductase, mitochondrial Astrocyte",glac[mA] + 2.0 h2o[mA] + nad[mA] --> glcr[mA] + 3.0 h[mA] + nadh[mA],"(0.0, 1000.0)",Ascorbate and Aldarate Metabolism
292,GLCt1r,glucose transport (uniport) Astrocyte,glc-D[e] --> glc-D[cA],"(3.519, 3.519)","Transport, Extracellular"
293,GLCt2r,D-glucose transport in via proton symport Astrocyte,glc-D[e] + h[e] --> glc-D[cA] + h[cA],"(0.0, 0.0)","Transport, Extracellular"
294,GLNS,glutamine synthetase Astrocyte,atp[cA] + glu-L[cA] + nh4[cA] --> adp[cA] + gln-L[cA] + h[cA] + pi[cA],"(0.0, 1000.0)",Glutamate metabolism
295,GLNtm,L-glutamine transport via electroneutral transporter Astrocyte,gln-L[cA] --> gln-L[mA],"(0.0, 1000.0)","Transport, Mitochondrial"
296,GLU5Km,glutamate 5-kinase (m) Astrocyte,atp[mA] + glu-L[mA] --> adp[mA] + glu5p[mA],"(0.0, 1000.0)",Urea cycle/amino group metabolism
297,GLUDxm,glutamate dehydrogenase (NAD) (mitochondrial) Astrocyte,glu-L[mA] + h2o[mA] + nad[mA] <=> akg[mA] + h[mA] + nadh[mA] + nh4[mA],"(-1000.0, 1000.0)",Glutamate metabolism
298,GLUDym,"glutamate dehydrogenase (NADP), mitochondrial Astrocyte",glu-L[mA] + h2o[mA] + nadp[mA] --> akg[mA] + h[mA] + nadph[mA] + nh4[mA],"(0.0, 0.0)",Glutamate metabolism
299,GLUNm,glutaminase (mitochondrial) Astrocyte,gln-L[mA] + h2o[mA] --> glu-L[mA] + nh4[mA],"(0.0, 1000.0)",Glutamate metabolism
300,GLUTCOADHm,glutaryl-CoA dehydrogenase (mitochondria) Astrocyte,fad[mA] + glutcoa[mA] + h[mA] --> b2coa[mA] + co2[mA] + fadh2[mA],"(0.0, 1000.0)",Tryptophan metabolism
301,GLUVESSEC,L-glutamate secretion via secretory vesicle (ATP driven) Astrocyte,atp[cA] + glu-L[cA] + h2o[cA] --> adp[cA] + glu-L[e] + h[cA] + pi[cA],"(0.0, 0.0)","Transport, Extracellular"
302,GLUt2m,"L-glutamate reversible transport via proton symport, mitochondrial Astrocyte",glu-L[cA] + h[cA] <=> glu-L[mA] + h[mA],"(-1000.0, 1000.0)","Transport, Mitochondrial"
303,GLUt6,"Glutamate transport via Na, H symport and K antiport Astrocyte",glu-L[e] + h[e] + k[cA] + 3.0 na1[e] --> glu-L[cA] + h[cA] + k[e] + 3.0 na1[cA],"(0.0, 0.0)","Transport, Extracellular"
304,GLYATm,glycine C-acetyltransferase Astrocyte,accoa[mA] + gly[mA] <=> 2aobut[mA] + coa[mA],"(-1000.0, 1000.0)","Glycine, Serine, and Threonine Metabolism"
305,GLYCLTDym,"Glycolate dehydrogenase (NADP), mitochondrial Astrocyte",glx[mA] + h[mA] + nadph[mA] --> glyclt[mA] + nadp[mA],"(0.0, 1000.0)",Glyoxylate and Dicarboxylate Metabolism
306,GLYCt,glycerol transport via channel Astrocyte,glyc[cA] <=> glyc[e],"(-1000.0, 1000.0)","Transport, Extracellular"
307,GLYCtm,glycerol transport Astrocyte,glyc[cA] <=> glyc[mA],"(-1000.0, 1000.0)","Transport, Mitochondrial"
308,GLYKm,glycerol kinase Astrocyte,atp[mA] + glyc[mA] --> adp[mA] + glyc3p[mA] + h[mA],"(0.0, 1000.0)",Glycerophospholipid Metabolism
309,GLYOXm,"hydroxyacylglutathione hydrolase, mitochondrial Astrocyte",h2o[mA] + lgt-S[mA] --> gthrd[mA] + h[mA] + lac-D[mA],"(0.0, 1000.0)",Pyruvate Metabolism
310,GLYt2r,glycine reversible transport via proton symport Astrocyte,gly[e] + h[e] <=> gly[cA] + h[cA],"(-1000.0, 1000.0)","Transport, Extracellular"
311,GLYtm,glycine passive transport to mitochondria Astrocyte,gly[cA] <=> gly[mA],"(-1000.0, 1000.0)","Transport, Mitochondrial"
312,GND,phosphogluconate dehydrogenase Astrocyte,6pgc[cA] + nadp[cA] --> co2[cA] + nadph[cA] + ru5p-D[cA],"(0.0, 1000.0)",Pentose Phosphate Pathway
313,GTHOm,glutathione oxidoreductase Astrocyte,gthox[mA] + h[mA] + nadph[mA] --> 2.0 gthrd[mA] + nadp[mA],"(0.0, 1000.0)",Glutamate metabolism
314,GTHPm,"glutathione peroxidase, mitochondria Astrocyte",2.0 gthrd[mA] + h2o2[mA] <=> gthox[mA] + 2.0 h2o[mA],"(-1000.0, 1000.0)",Glutathione Metabolism
315,H2CO3Dm,carboxylic acid dissociation Astrocyte,co2[mA] + h2o[mA] <=> h2co3[mA],"(-1000.0, 1000.0)",Miscellaneous
